admin_code;not_null;ipc_1;ipc_2;ipc_3;ipc_4;ipc_5;ipc_2_plus;ipc_3_plus;ipc_4_plus;ipc_1_pct;ipc_2_pct;ipc_3_pct;ipc_4_pct;ipc_5_pct;ipc_2_plus_pct;ipc_3_plus_pct;ipc_4_plus_pct
463;28;4;20;2;2;;24;4;2;0.142857143;0.714285714;0.071428571;0.071428571;0;0.857142857;0.142857143;0.071428571
464;28;1;;25;2;;27;27;2;0.035714286;0;0.892857143;0.071428571;0;0.964285714;0.964285714;0.071428571
465;28;;3;24;1;;28;25;1;0;0.107142857;0.857142857;0.035714286;0;1;0.892857143;0.035714286
466;28;1;3;23;1;;27;24;1;0.035714286;0.107142857;0.821428571;0.035714286;0;0.964285714;0.857142857;0.035714286
467;28;2;21;4;1;;26;5;1;0.071428571;0.75;0.142857143;0.035714286;0;0.928571429;0.178571429;0.035714286
468;28;7;15;6;;;21;6;0;0.25;0.535714286;0.214285714;0;0;0.75;0.214285714;0
469;28;8;15;5;;;20;5;0;0.285714286;0.535714286;0.178571429;0;0;0.714285714;0.178571429;0
470;28;1;16;11;;;27;11;0;0.035714286;0.571428571;0.392857143;0;0;0.964285714;0.392857143;0
471;28;18;9;1;;;10;1;0;0.642857143;0.321428571;0.035714286;0;0;0.357142857;0.035714286;0
472;28;20;7;1;;;8;1;0;0.714285714;0.25;0.035714286;0;0;0.285714286;0.035714286;0
473;28;17;10;1;;;11;1;0;0.607142857;0.357142857;0.035714286;0;0;0.392857143;0.035714286;0
474;28;18;8;2;;;10;2;0;0.642857143;0.285714286;0.071428571;0;0;0.357142857;0.071428571;0
475;28;20;7;1;;;8;1;0;0.714285714;0.25;0.035714286;0;0;0.285714286;0.035714286;0
476;28;21;6;1;;;7;1;0;0.75;0.214285714;0.035714286;0;0;0.25;0.035714286;0
477;28;21;7;;;;7;0;0;0.75;0.25;0;0;0;0.25;0;0
478;28;20;6;2;;;8;2;0;0.714285714;0.214285714;0.071428571;0;0;0.285714286;0.071428571;0
479;28;5;14;9;;;23;9;0;0.178571429;0.5;0.321428571;0;0;0.821428571;0.321428571;0
480;28;10;18;;;;18;0;0;0.357142857;0.642857143;0;0;0;0.642857143;0;0
481;28;21;5;2;;;7;2;0;0.75;0.178571429;0.071428571;0;0;0.25;0.071428571;0
482;28;1;22;5;;;27;5;0;0.035714286;0.785714286;0.178571429;0;0;0.964285714;0.178571429;0
483;28;12;13;3;;;16;3;0;0.428571429;0.464285714;0.107142857;0;0;0.571428571;0.107142857;0
484;28;1;23;4;;;27;4;0;0.035714286;0.821428571;0.142857143;0;0;0.964285714;0.142857143;0
485;28;9;15;4;;;19;4;0;0.321428571;0.535714286;0.142857143;0;0;0.678571429;0.142857143;0
486;28;12;14;2;;;16;2;0;0.428571429;0.5;0.071428571;0;0;0.571428571;0.071428571;0
487;28;12;14;2;;;16;2;0;0.428571429;0.5;0.071428571;0;0;0.571428571;0.071428571;0
488;28;9;17;1;1;;19;2;1;0.321428571;0.607142857;0.035714286;0.035714286;0;0.678571429;0.071428571;0.035714286
489;28;15;11;2;;;13;2;0;0.535714286;0.392857143;0.071428571;0;0;0.464285714;0.071428571;0
490;28;17;9;2;;;11;2;0;0.607142857;0.321428571;0.071428571;0;0;0.392857143;0.071428571;0
491;28;14;12;2;;;14;2;0;0.5;0.428571429;0.071428571;0;0;0.5;0.071428571;0
492;28;11;14;3;;;17;3;0;0.392857143;0.5;0.107142857;0;0;0.607142857;0.107142857;0
493;28;6;20;2;;;22;2;0;0.214285714;0.714285714;0.071428571;0;0;0.785714286;0.071428571;0
494;28;8;18;2;;;20;2;0;0.285714286;0.642857143;0.071428571;0;0;0.714285714;0.071428571;0
495;28;15;11;1;1;;13;2;1;0.535714286;0.392857143;0.035714286;0.035714286;0;0.464285714;0.071428571;0.035714286
496;28;11;12;5;;;17;5;0;0.392857143;0.428571429;0.178571429;0;0;0.607142857;0.178571429;0
497;28;19;8;1;;;9;1;0;0.678571429;0.285714286;0.035714286;0;0;0.321428571;0.035714286;0
498;28;19;7;2;;;9;2;0;0.678571429;0.25;0.071428571;0;0;0.321428571;0.071428571;0
499;28;17;10;1;;;11;1;0;0.607142857;0.357142857;0.035714286;0;0;0.392857143;0.035714286;0
500;28;18;8;2;;;10;2;0;0.642857143;0.285714286;0.071428571;0;0;0.357142857;0.071428571;0
501;28;;14;14;;;28;14;0;0;0.5;0.5;0;0;1;0.5;0
502;28;19;7;2;;;9;2;0;0.678571429;0.25;0.071428571;0;0;0.321428571;0.071428571;0
503;28;1;11;16;;;27;16;0;0.035714286;0.392857143;0.571428571;0;0;0.964285714;0.571428571;0
504;28;20;7;1;;;8;1;0;0.714285714;0.25;0.035714286;0;0;0.285714286;0.035714286;0
505;28;20;7;1;;;8;1;0;0.714285714;0.25;0.035714286;0;0;0.285714286;0.035714286;0
506;28;18;8;2;;;10;2;0;0.642857143;0.285714286;0.071428571;0;0;0.357142857;0.071428571;0
507;28;18;9;1;;;10;1;0;0.642857143;0.321428571;0.035714286;0;0;0.357142857;0.035714286;0
508;28;2;9;17;;;26;17;0;0.071428571;0.321428571;0.607142857;0;0;0.928571429;0.607142857;0
509;28;19;7;2;;;9;2;0;0.678571429;0.25;0.071428571;0;0;0.321428571;0.071428571;0
510;28;2;10;16;;;26;16;0;0.071428571;0.357142857;0.571428571;0;0;0.928571429;0.571428571;0
511;28;19;7;2;;;9;2;0;0.678571429;0.25;0.071428571;0;0;0.321428571;0.071428571;0
